,event,game_id,game_time,home_team,away_team,home_score,away_score
0,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150508,5/29/2017 5:00 PM,Carleton College (6),North Carolina-Wilmington (11),15,11
1,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150506,5/28/2017 2:00 PM,Massachusetts (1),Carleton College (6),14,15
2,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150507,5/28/2017 8:00 PM,North Carolina (3),North Carolina-Wilmington (11),13,14
3,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150502,5/28/2017 8:30 AM,Pittsburgh (2),Massachusetts (1),11,13
4,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150503,5/28/2017 8:30 AM,Carleton College (6),Minnesota (4),12,10
5,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150504,5/28/2017 8:30 AM,Wisconsin (9),North Carolina (3),14,15
6,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150505,5/28/2017 8:30 AM,Washington (8),North Carolina-Wilmington (11),10,15
7,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150498,5/27/2017 5:15 PM,Pittsburgh (2),Auburn (15),15,8
8,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150499,5/27/2017 5:15 PM,Carleton College (6),Michigan (7),15,10
9,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150500,5/27/2017 5:15 PM,Wisconsin (9),Cal Poly-SLO (17),15,10
10,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150501,5/27/2017 5:15 PM,Washington (8),Oregon (5),15,12
11,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150509,5/28/2017 8:30 AM,Stanford (12),Virginia Tech (20),15,13
12,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150510,5/27/2017 5:15 PM,Connecticut (18),Colorado (10),15,12
13,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150511,5/27/2017 5:15 PM,British Columbia (16),Colorado State (13),15,8
14,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,game150512,5/28/2017 8:30 AM,Oregon State (19),Texas A&M; (14),12,15
