,event,table,Date,Time,home_team,away_team,home_score,away_score
0,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,10:30 AM,Massachusetts (1),Washington (8),14,12
1,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,10:30 AM,Stanford (12),Colorado State (13),15,11
2,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,2:30 PM,Washington (8),Colorado State (13),15,10
3,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,2:30 PM,Stanford (12),Cal Poly-SLO (17),12,10
4,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,4:30 PM,Massachusetts (1),Cal Poly-SLO (17),15,12
5,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,8:30 AM,Massachusetts (1),Stanford (12),14,11
6,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,8:30 AM,Washington (8),Cal Poly-SLO (17),14,16
7,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,12:30 PM,Massachusetts (1),Colorado State (13),15,10
8,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,12:30 PM,Washington (8),Stanford (12),15,12
9,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,2:30 PM,Colorado State (13),Cal Poly-SLO (17),11,15
0,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,8:30 AM,Pittsburgh (2),Connecticut (18),15,5
1,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,8:30 AM,Michigan (7),Texas A&M (14),15,7
2,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,12:30 PM,Pittsburgh (2),Michigan (7),15,8
3,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,12:30 PM,North Carolina-Wilmington (11),Texas A&M (14),15,8
4,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,4:30 PM,North Carolina-Wilmington (11),Connecticut (18),15,12
5,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,10:30 AM,Pittsburgh (2),North Carolina-Wilmington (11),13,15
6,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,10:30 AM,Michigan (7),Connecticut (18),14,13
7,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,12:30 PM,Texas A&M (14),Connecticut (18),14,11
8,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,2:30 PM,Michigan (7),North Carolina-Wilmington (11),7,15
9,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,2:30 PM,Pittsburgh (2),Texas A&M (14),13,10
0,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,10:30 AM,Carleton College (6),Auburn (15),15,8
1,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,10:30 AM,Colorado (10),Oregon State (19),15,12
2,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,2:30 PM,North Carolina (3),Carleton College (6),15,10
