,event,type,winner_team,winner_score,loser_team,loser_score
0,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Stanford (1),Colorado (8),13,11
1,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Carleton College (12),Pittsburgh (13),15,9
2,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Colorado (8),Pittsburgh (13),15,9
3,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Carleton College (12),Ohio State (17),14,10
4,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Stanford (1),Ohio State (17),12,7
5,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Stanford (1),Carleton College (12),14,8
6,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Colorado (8),Ohio State (17),14,12
7,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Colorado (8),Carleton College (12),12,11
8,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Dartmouth (2),Delaware (18),15,4
9,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Notre Dame (7),Florida (14),14,11
10,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Dartmouth (2),Notre Dame (7),15,6
11,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Oregon (11),Florida (14),15,2
12,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Oregon (11),Delaware (18),15,13
13,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Notre Dame (7),Delaware (18),15,7
14,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Florida (14),Delaware (18),13,9
15,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Dartmouth (2),Florida (14),15,2
16,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,UCLA (6),Michigan (15),13,11
17,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Tufts (10),California-San Diego (19),11,8
18,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Virginia (3),California-San Diego (19),14,9
19,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Michigan (15),California-San Diego (19),13,10
20,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Virginia (3),Tufts (10),12,10
21,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,UCLA (6),California-San Diego (19),15,12
22,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Virginia (3),Michigan (15),14,12
23,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,UCLA (6),Tufts (10),15,12
24,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,British Columbia (5),North Carolina (16),15,8
25,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,California (9),Connecticut (20),15,3
26,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Texas (4),Connecticut (20),15,6
27,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,California (9),North Carolina (16),14,12
28,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Texas (4),California (9),15,9
29,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,North Carolina (16),Connecticut (20),15,7
30,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,British Columbia (5),Connecticut (20),15,3
31,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,Texas (4),North Carolina (16),15,8
32,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,British Columbia (5),California (9),15,5
33,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,Dartmouth (2),Texas (4),15,9
34,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,Dartmouth (2),British Columbia (5),14,8
35,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,Texas (4),Colorado (8),14,12
36,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,British Columbia (5),Virginia (3),15,13
37,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,Dartmouth (2),Michigan (15),15,7
38,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,Virginia (3),Notre Dame (7),15,9
39,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,Texas (4),Carleton College (12),14,10
40,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,Colorado (8),California (9),15,8
41,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,Ohio State (17),Connecticut (20),15,7
42,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,Delaware (18),Tufts (10),15,12
