,event,table,Date,Time,home_team,away_team,home_score,away_score
0,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool A Schedule & Scores,Fri 5/26,10:30 AM,Stanford (1),Colorado (8),13,11
1,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool A Schedule & Scores,Fri 5/26,10:30 AM,Carleton College (12),Pittsburgh (13),15,9
2,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool A Schedule & Scores,Fri 5/26,2:30 PM,Colorado (8),Pittsburgh (13),15,9
3,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool A Schedule & Scores,Fri 5/26,2:30 PM,Carleton College (12),Ohio State (17),14,10
4,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool A Schedule & Scores,Fri 5/26,4:30 PM,Stanford (1),Ohio State (17),12,7
5,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool A Schedule & Scores,Sat 5/27,8:30 AM,Stanford (1),Carleton College (12),14,8
6,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool A Schedule & Scores,Sat 5/27,8:30 AM,Colorado (8),Ohio State (17),14,12
7,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool A Schedule & Scores,Sat 5/27,12:30 PM,Stanford (1),Pittsburgh (13),12,15
8,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool A Schedule & Scores,Sat 5/27,12:30 PM,Colorado (8),Carleton College (12),12,11
9,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool A Schedule & Scores,Sat 5/27,2:30 PM,Pittsburgh (13),Ohio State (17),12,13
0,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool B Schedule & Scores,Fri 5/26,8:30 AM,Dartmouth (2),Delaware (18),15,4
1,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool B Schedule & Scores,Fri 5/26,8:30 AM,Notre Dame (7),Florida (14),14,11
2,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool B Schedule & Scores,Fri 5/26,12:30 PM,Dartmouth (2),Notre Dame (7),15,6
3,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool B Schedule & Scores,Fri 5/26,12:30 PM,Oregon (11),Florida (14),15,2
4,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool B Schedule & Scores,Fri 5/26,4:30 PM,Oregon (11),Delaware (18),15,13
5,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool B Schedule & Scores,Sat 5/27,10:30 AM,Dartmouth (2),Oregon (11),10,15
6,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool B Schedule & Scores,Sat 5/27,10:30 AM,Notre Dame (7),Delaware (18),15,7
7,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool B Schedule & Scores,Sat 5/27,12:30 PM,Florida (14),Delaware (18),13,9
