,event,type,winner_team,winner_score,loser_team,loser_score
0,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,North Carolina (1),George Mason (11),13,2
1,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,George Washington (8),Delaware (14),11,10
2,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,North Carolina (1),Delaware (14),13,2
3,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,George Washington (8),George Mason (11),14,12
4,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,North Carolina (1),George Washington (8),13,5
5,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,George Mason (11),Delaware (14),12,8
6,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (2),Virginia Commonwealth (12),13,5
7,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,James Madison (7),South Carolina (13),13,11
8,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (2),South Carolina (13),13,5
9,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,North Carolina State (3),Maryland (9),13,11
10,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,Virginia (6),North Carolina-Charlotte (16),13,10
11,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,North Carolina State (3),North Carolina-Charlotte (16),10,7
12,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,Virginia (6),Maryland (9),9,8
13,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,North Carolina State (3),Virginia (6),13,5
14,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,Maryland (9),North Carolina-Charlotte (16),9,7
15,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,William & Mary (4),Clemson (10),13,8
16,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,Virginia Tech (5),Duke (15),13,5
17,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,William & Mary (4),Duke (15),13,6
18,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,Virginia Tech (5),Clemson (10),11,10
19,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,William & Mary (4),Virginia Tech (5),10,6
20,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,Clemson (10),Duke (15),13,9
21,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,North Carolina (1),North Carolina State (3),14,11
22,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,James Madison (7),William & Mary (4),15,14
23,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,Virginia Tech (5),South Carolina (13),15,11
24,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,Virginia (6),George Mason (11),15,9
25,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (2),Clemson (10),15,6
26,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,George Washington (8),Maryland (9),15,9
27,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,North Carolina (1),Virginia Tech (5),15,6
28,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,North Carolina (1),William & Mary (4),15,8
29,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,Virginia Tech (5),George Washington (8),15,11
30,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,North Carolina (1),North Carolina-Wilmington (2),15,13
31,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,North Carolina-Wilmington (2),North Carolina State (3),15,6
32,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,North Carolina-Wilmington (2),George Washington (8),15,6
33,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,North Carolina State (3),William & Mary (4),15,6
34,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,North Carolina-Wilmington (2),Virginia (6),15,10
35,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,North Carolina State (3),James Madison (7),15,11
36,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,North Carolina-Charlotte (16),Duke (15),15,9
37,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,George Mason (11),Maryland (9),15,11
38,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,10,11,James Madison (7),Virginia Commonwealth (12)
39,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,11,13,North Carolina-Wilmington (2),James Madison (7)
40,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,pool,5,13,Virginia Commonwealth (12),South Carolina (13)
41,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,15,16,Virginia (6),William & Mary (4)
42,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,13,14,North Carolina State (3),Virginia Tech (5)
43,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,11,13,James Madison (7),George Washington (8)
44,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,10,14,Virginia Commonwealth (12),Duke (15)
45,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,bracket,10,13,South Carolina (13),Clemson (10)
