,event,game_id,game_time,home_team,away_team,home_score,away_score
0,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149894,5/7/2017 12:30 PM,North Carolina (1),Virginia Tech (5),15,6
1,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149892,5/7/2017 10:30 AM,North Carolina (1),William & Mary (4),15,8
2,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149893,5/7/2017 10:30 AM,Virginia Tech (5),George Washington (8),15,11
3,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149888,5/7/2017 8:30 AM,North Carolina (1),North Carolina-Wilmington (2),15,13
4,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149889,5/7/2017 8:30 AM,Virginia (6),William & Mary (4),15,16
5,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149890,5/7/2017 8:30 AM,North Carolina State (3),Virginia Tech (5),13,14
6,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149891,5/7/2017 8:30 AM,James Madison (7),George Washington (8),11,13
7,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149899,5/7/2017 2:30 PM,North Carolina-Wilmington (2),North Carolina State (3),15,6
8,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149897,5/7/2017 12:30 PM,North Carolina-Wilmington (2),George Washington (8),15,6
9,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149898,5/7/2017 12:30 PM,North Carolina State (3),William & Mary (4),15,6
10,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149895,5/7/2017 10:30 AM,North Carolina-Wilmington (2),Virginia (6),15,10
11,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149896,5/7/2017 10:30 AM,North Carolina State (3),James Madison (7),15,11
12,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149904,5/7/2017 12:30 PM,North Carolina-Charlotte (16),Duke (15),15,9
13,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149902,5/7/2017 8:30 AM,Delaware (14),North Carolina-Charlotte (16),0,0
14,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149903,5/7/2017 8:30 AM,Virginia Commonwealth (12),Duke (15),10,14
15,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149905,5/7/2017 12:30 PM,Delaware (14),Virginia Commonwealth (12),0,0
16,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149908,5/7/2017 12:30 PM,George Mason (11),Clemson (10),0,0
17,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149906,5/7/2017 10:30 AM,George Mason (11),Maryland (9),15,11
18,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149907,5/7/2017 10:30 AM,South Carolina (13),Clemson (10),10,13
19,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,game149909,5/7/2017 2:30 PM,South Carolina (13),Maryland (9),0,0
