,event,table,Date,Time,home_team,away_team,home_score,away_score
0,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/6,10:15 AM,North Carolina (1),George Mason (11),13,2
1,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/6,10:15 AM,George Washington (8),Delaware (14),11,10
2,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/6,12:00 PM,North Carolina (1),Delaware (14),13,2
3,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/6,12:00 PM,George Washington (8),George Mason (11),14,12
4,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/6,1:45 PM,North Carolina (1),George Washington (8),13,5
5,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/6,1:45 PM,George Mason (11),Delaware (14),12,8
0,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/6,8:30 AM,North Carolina-Wilmington (2),Virginia Commonwealth (12),13,5
1,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/6,8:30 AM,James Madison (7),South Carolina (13),13,11
2,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/6,12:00 PM,North Carolina-Wilmington (2),South Carolina (13),13,5
3,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/6,12:00 PM,James Madison (7),Virginia Commonwealth (12),10,11
4,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/6,1:45 PM,North Carolina-Wilmington (2),James Madison (7),11,13
5,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/6,1:45 PM,Virginia Commonwealth (12),South Carolina (13),5,13
0,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/6,10:15 AM,North Carolina State (3),Maryland (9),13,11
1,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/6,10:15 AM,Virginia (6),North Carolina-Charlotte (16),13,10
2,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/6,12:00 PM,North Carolina State (3),North Carolina-Charlotte (16),10,7
3,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/6,12:00 PM,Virginia (6),Maryland (9),9,8
4,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/6,1:45 PM,North Carolina State (3),Virginia (6),13,5
5,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/6,1:45 PM,Maryland (9),North Carolina-Charlotte (16),9,7
0,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/6,8:30 AM,William & Mary (4),Clemson (10),13,8
1,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/6,8:30 AM,Virginia Tech (5),Duke (15),13,5
2,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/6,12:00 PM,William & Mary (4),Duke (15),13,6
3,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/6,12:00 PM,Virginia Tech (5),Clemson (10),11,10
4,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/6,1:45 PM,William & Mary (4),Virginia Tech (5),10,6
5,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/6,1:45 PM,Clemson (10),Duke (15),13,9
0,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,4th Round Cross Overs,Sat 5/6,3:30 PM,North Carolina (1),North Carolina State (3),14,11
1,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,4th Round Cross Overs,Sat 5/6,3:30 PM,James Madison (7),William & Mary (4),15,14
2,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,4th Round Cross Overs,Sat 5/6,3:30 PM,Virginia Tech (5),South Carolina (13),15,11
3,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,4th Round Cross Overs,Sat 5/6,3:30 PM,Virginia (6),George Mason (11),15,9
4,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,4th Round Cross Overs,Sat 5/6,3:30 PM,North Carolina-Wilmington (2),Clemson (10),15,6
5,Atlantic-Coast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/,4th Round Cross Overs,Sat 5/6,3:30 PM,George Washington (8),Maryland (9),15,9
