,event,type,winner_team,winner_score,loser_team,loser_score
0,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina (1),Appalachian State (6),13,6
1,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina State (3),East Carolina (9),13,4
2,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,Duke (8),Western Carolina (12),13,6
3,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina (1),North Carolina State (3),13,8
4,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,East Carolina (9),Western Carolina (12),13,7
5,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina (1),Duke (8),13,1
6,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina State (3),Western Carolina (12),13,8
7,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,Appalachian State (6),East Carolina (9),13,7
8,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina (1),Western Carolina (12),13,1
9,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina State (3),Appalachian State (6),13,5
10,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,Duke (8),East Carolina (9),11,7
11,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (2),North Carolina-Charlotte (5),13,8
12,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,Clemson (4),Wake Forest (10),13,2
13,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,South Carolina (7),Charleston (11),13,1
14,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (2),Clemson (4),12,9
15,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,Wake Forest (10),Charleston (11),14,13
16,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (2),South Carolina (7),11,9
17,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,Clemson (4),Charleston (11),13,2
18,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina-Charlotte (5),Wake Forest (10),13,11
19,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (2),Charleston (11),13,2
20,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,Clemson (4),North Carolina-Charlotte (5),10,7
21,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,South Carolina (7),Wake Forest (10),13,1
22,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,bracket,North Carolina-Charlotte (5),Appalachian State (6),13,9
23,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,bracket,North Carolina-Charlotte (5),East Carolina (9),13,4
24,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,bracket,Appalachian State (6),Wake Forest (10),13,4
25,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,bracket,East Carolina (9),Wake Forest (10),13,7
26,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,11,13,Appalachian State (6),Duke (8)
27,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,pool,9,12,North Carolina-Charlotte (5),South Carolina (7)
