,event,table,Date,Time,home_team,away_team,home_score,away_score
0,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,9:00 AM,North Carolina (1),Appalachian State (6),13,6
1,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,9:00 AM,North Carolina State (3),East Carolina (9),13,4
2,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,9:00 AM,Duke (8),Western Carolina (12),13,6
3,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,10:45 AM,North Carolina (1),North Carolina State (3),13,8
4,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,10:45 AM,Appalachian State (6),Duke (8),11,13
5,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,10:45 AM,East Carolina (9),Western Carolina (12),13,7
6,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,2:15 PM,North Carolina (1),Duke (8),13,1
7,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,2:15 PM,North Carolina State (3),Western Carolina (12),13,8
8,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,2:15 PM,Appalachian State (6),East Carolina (9),13,7
9,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,4:00 PM,North Carolina (1),Western Carolina (12),13,1
10,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,4:00 PM,North Carolina State (3),Appalachian State (6),13,5
11,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 4/22,4:00 PM,Duke (8),East Carolina (9),11,7
12,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sun 4/23,9:00 AM,North Carolina (1),East Carolina (9),0,0
13,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sun 4/23,9:00 AM,North Carolina State (3),Duke (8),0,0
14,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sun 4/23,9:00 AM,Appalachian State (6),Western Carolina (12),0,0
0,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,9:00 AM,North Carolina-Wilmington (2),North Carolina-Charlotte (5),13,8
1,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,9:00 AM,Clemson (4),Wake Forest (10),13,2
2,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,9:00 AM,South Carolina (7),Charleston (11),13,1
3,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,10:45 AM,North Carolina-Wilmington (2),Clemson (4),12,9
4,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,10:45 AM,North Carolina-Charlotte (5),South Carolina (7),9,12
5,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,10:45 AM,Wake Forest (10),Charleston (11),14,13
6,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,2:15 PM,North Carolina-Wilmington (2),South Carolina (7),11,9
7,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,2:15 PM,Clemson (4),Charleston (11),13,2
8,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,2:15 PM,North Carolina-Charlotte (5),Wake Forest (10),13,11
9,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,4:00 PM,North Carolina-Wilmington (2),Charleston (11),13,2
10,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,4:00 PM,Clemson (4),North Carolina-Charlotte (5),10,7
11,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 4/22,4:00 PM,South Carolina (7),Wake Forest (10),13,1
12,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sun 4/23,9:00 AM,North Carolina-Wilmington (2),Wake Forest (10),0,0
13,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sun 4/23,9:00 AM,Clemson (4),South Carolina (7),0,0
14,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sun 4/23,9:00 AM,North Carolina-Charlotte (5),Charleston (11),0,0
