Team,#,Player,Goals,Assists,Ds,TOs
Arizona,0,Jack McLain,0,0,0,0
Arizona,2,Sean Ham,5,5,5,2
Arizona,3,Brice Dixon,3,12,1,9
Arizona,4,Daniel Guyll,1,0,2,2
Arizona,5,Stephen Lin,5,2,0,3
Arizona,6,Nolan Schmalenberger,3,4,0,3
Arizona,7,Alex Smith,16,4,5,5
Arizona,8,Sam Ouimet,1,3,3,9
Arizona,13,Jacob Lien,0,9,2,10
Arizona,14,John Patinella,0,0,0,1
Arizona,16,Kyle Weigand,3,5,3,5
Arizona,17,Seth Stephens,3,4,2,9
Arizona,18,John Perkin,1,0,0,1
Arizona,19,AJ Garnello,3,0,2,1
Arizona,24,Ben Lacy,8,1,0,1
Arizona,29,Marshall Crawford,4,2,2,4
Arizona,32,Tom McClintock,0,5,3,5
Arizona,33,Reilly Cleal,2,0,1,5
Arizona,36,Ryan Lacy,3,8,3,2
Arizona,45,Ryan Fulleman,0,1,0,0
Arizona,56,Chris Metz,3,1,3,1
Arizona,87,Alex Schoonmaker,2,1,1,0
Arizona,92,James DeVore,0,0,0,0
Arizona,?,unknown,0,0,0,2
California-Davis,4,Greg Finkelstein,0,0,0,0
California-Davis,6,Nathan White,2,14,1,5
California-Davis,7,Benjamin Souvey,14,10,2,8
California-Davis,11,Kevin Liantono,8,2,1,2
California-Davis,12,Elijah Kerns,10,22,3,10
California-Davis,16,Mark Miller,0,0,0,0
California-Davis,17,Bradley Santi,0,1,0,1
California-Davis,19,Sean Frawley,0,2,1,2
California-Davis,21,Samuel Asin,1,1,1,1
California-Davis,22,Marcelo Sanchez,12,9,2,5
California-Davis,23,Steve Purugganan,0,1,0,2
California-Davis,27,Kramer Straube,1,0,0,1
California-Davis,30,Keean Joye,5,1,1,2
California-Davis,34,David Hwang,1,3,0,2
California-Davis,36,Michael Norcia,2,0,0,4
California-Davis,44,Orion Edwards,3,0,0,1
California-Davis,52,Patrick Lahey,9,3,4,5
California-Davis,62,Joe Butler,1,1,1,0
California-Davis,74,Ben Hubbard,8,8,4,8
California-Davis,77,Darren Brodowy,0,0,0,0
California-Davis,?,unknown,0,0,0,0
Carleton College,0,Robert Olney,4,1,0,1
Carleton College,2,Julian Childs-Walker,7,12,3,7
Carleton College,3,Justin Norden,2,24,1,8
Carleton College,4,James Adams,10,2,1,1
Carleton College,5,Louis Cohen,2,0,1,5
Carleton College,7,Jesse Bolton,0,0,0,0
Carleton College,8,Michael Goodgame,0,2,0,1
Carleton College,9,Simon Montague,12,17,6,12
Carleton College,10,John Raynolds,13,3,2,8
Carleton College,11,Duncan Sallstrom,1,0,0,0
Carleton College,13,Simon Johansen,6,1,4,1
Carleton College,14,Justin Lim,5,3,0,3
Carleton College,15,David Long,2,1,1,0
Carleton College,17,Alex Trautman,2,0,1,1
Carleton College,18,Paxton Harvieux,2,0,1,4
Carleton College,20,Will Herold,2,2,4,6
Carleton College,21,Tyler Mahony,0,0,3,0
Carleton College,23,Sef Van Kan,3,2,1,0
Carleton College,25,Nick Stuart,1,1,4,1
Carleton College,26,Nathaniel Grant,0,1,1,0
Carleton College,40,Galen Ryan,5,8,6,4
Carleton College,44,Alex McMurtry,0,0,0,0
Carleton College,48,Ben Caffrey,1,1,0,0
Carleton College,50,Nick Petru,2,1,1,0
Carleton College,91,Russel Hanson,0,0,0,0
Carleton College,?,unknown,0,0,0,0
Central Florida,1,Brawley Adams,3,3,0,4
Central Florida,2,Chad Russom,0,0,0,0
Central Florida,3,Terry Murphy,0,0,0,0
Central Florida,4,Kyle Reedy,4,3,4,3
Central Florida,6,Dillon Esdale,3,1,0,3
Central Florida,7,John Collingwood,0,0,1,0
Central Florida,8,Alex Bullock,1,14,4,10
Central Florida,9,Matt Capp,3,3,2,5
Central Florida,11,Michael Hickson,2,5,5,10
Central Florida,12,Chris Lin,0,0,0,0
Central Florida,13,JC Feldman,2,0,0,0
Central Florida,14,Mischa Freystaetter,13,8,5,7
Central Florida,16,Nick Brewer,1,1,0,1
Central Florida,17,Matt Carlson,10,4,2,3
Central Florida,21,Jonah Larsen,0,0,0,0
Central Florida,23,Daniel Jakob,2,5,0,8
Central Florida,25,Jeremy Langdon,12,12,5,12
Central Florida,28,Will Furiosi,0,0,1,0
Central Florida,30,Andrew McKelvey,3,1,0,1
Central Florida,33,John Best,5,19,7,12
Central Florida,34,Garrett Pelton,4,2,0,3
Central Florida,42,Mike Ogren,15,5,5,6
Central Florida,44,Tommy Hankin,5,1,2,1
Central Florida,69,Eric Buenrostro,0,1,1,2
Central Florida,74,Stuart Little,1,0,1,2
Central Florida,?,unknown,0,0,0,4
Colorado,0,Mark Rauls,0,0,0,0
Colorado,1,Matt Robinson,0,0,1,1
Colorado,2,Chris Bubernak,2,0,0,0
Colorado,5,Hidde Snieder,9,2,1,5
Colorado,6,Stu Barnes,0,0,0,2
Colorado,7,Noah Baker,0,0,0,0
Colorado,8,Pawel Janas,3,10,1,7
Colorado,9,Pete Gleason,0,0,0,0
Colorado,12,Tim Morrissy,7,5,2,5
Colorado,15,Dennison Bechis,4,3,3,4
Colorado,17,Tristan Voss,2,2,1,1
Colorado,18,Phil Sun,1,1,1,1
Colorado,20,Jack Barrow,2,2,1,2
Colorado,21,Wesley Chow,2,1,2,1
Colorado,22,Zach Zebarth,0,0,1,0
Colorado,23,Jimmy Mickle,6,25,6,6
Colorado,24,Jackson Kloor,9,3,4,8
Colorado,26,Stanley Peterson,3,0,3,0
Colorado,27,Andrew Commander,0,0,0,1
Colorado,28,Oak Nelson,0,0,0,1
Colorado,29,Matt Gleason,0,1,0,0
Colorado,32,Kevin Johnson,0,0,0,0
Colorado,35,Todd Wolma,0,0,0,0
Colorado,36,Gabe Stump,0,0,1,0
Colorado,42,Matt Bubernak,1,1,1,1
Colorado,44,Jesse Fisher,1,0,2,1
Colorado,45,Brian McDonald,0,0,1,0
Colorado,63,James Mitchell,4,6,5,3
Colorado,77,John Kearns,0,0,0,1
Colorado,80,Jeremy Harker,2,1,2,6
Colorado,83,Zach Nager,9,3,1,0
Colorado,?,unknown,0,1,0,0
Cornell,2,James McClintock,0,0,1,0
Cornell,7,Austin Hartley,0,0,1,0
Cornell,10,Adam Salwen,1,10,2,9
Cornell,11,Aiden Forsi,1,1,0,1
Cornell,12,Jason Kowalski,0,1,0,0
Cornell,13,Franklin Li,4,3,1,4
Cornell,15,Adam Shih,0,0,1,0
Cornell,18,John Brancato,3,1,4,2
Cornell,19,Justin Yeh,0,0,0,0
Cornell,22,Benjamin Wie,0,0,0,0
Cornell,23,Walter Cai,8,4,2,12
Cornell,24,Alex Eacker,0,0,0,0
Cornell,25,Jordan Diamond,4,6,1,6
Cornell,27,Nick Thompson,8,2,2,3
Cornell,28,Chris Perrotti,0,0,0,0
Cornell,42,Dan Goldberg,1,1,1,2
Cornell,44,Brian Pollack,0,0,0,0
Cornell,46,Ryan Sturm,7,2,2,7
Cornell,54,Robert Vander Meulen,6,0,1,2
Cornell,55,Jake Stevelman,8,14,1,20
Cornell,87,Daniel Wekstein,2,8,2,4
Cornell,?,unknown,0,0,0,0
Dartmouth,2,Spencer Diamond,4,15,3,9
Dartmouth,3,Ian  Engler,16,18,3,13
Dartmouth,4,Daniel Rosengard,12,7,4,9
Dartmouth,5,Andrew  Pillsbury,0,0,0,1
Dartmouth,7,Scott Sottosanti,2,1,1,0
Dartmouth,8,Peter Lobel,0,0,0,1
Dartmouth,9,Brett Szalapski,1,1,0,4
Dartmouth,10,Sam Hills,1,0,0,1
