event,table,Date,Time,home_team,away_team,home_score,away_score,home_seed,away_seed
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/23,10:30 AM,Colorado (1),Harvard (8),15,11,1,8
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/23,10:30 AM,Wisconsin (12),California-San Diego (13),15,7,12,13
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/23,2:30 PM,Harvard (8),California-San Diego (13),15,14,8,13
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/23,2:30 PM,Wisconsin (12),Eastern Michigan (17),15,11,12,17
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/23,4:30 PM,Colorado (1),Eastern Michigan (17),15,9,1,17
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/24,8:30 AM,Colorado (1),Wisconsin (12),14,12,1,12
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/24,8:30 AM,Harvard (8),Eastern Michigan (17),15,12,8,17
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/24,12:30 PM,Colorado (1),California-San Diego (13),15,16,1,13
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/24,12:30 PM,Harvard (8),Wisconsin (12),14,13,8,12
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/24,2:30 PM,California-San Diego (13),Eastern Michigan (17),15,12,13,17
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/23,8:30 AM,Pittsburgh (2),Dartmouth (18),15,8,2,18
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/23,8:30 AM,Texas A&M (7),Central Florida (14),11,15,7,14
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/23,12:30 PM,Michigan (11),Central Florida (14),14,13,11,14
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/23,12:30 PM,Pittsburgh (2),Texas A&M (7),15,9,2,7
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/23,4:30 PM,Michigan (11),Dartmouth (18),11,13,11,18
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/24,10:30 AM,Pittsburgh (2),Michigan (11),15,8,2,11
