event,type,home_team,away_team,home_score,away_score,home_seed,away_seed
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Minnesota (1),Wisconsin-Eau Claire (10),15,7,1,10
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Iowa (8),Minnesota (B) (15),15,2,8,15
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Minnesota (1),Minnesota (B) (15),15,2,1,15
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Iowa (8),Wisconsin-Eau Claire (10),15,5,8,10
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Minnesota (1),Iowa (8),15,5,1,8
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Wisconsin-Eau Claire (10),Minnesota (B) (15),14,10,10,15
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Wisconsin (2),Northern Iowa (9),15,3,2,9
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Iowa State (7),Winona State (16),15,5,7,16
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Wisconsin (2),Winona State (16),15,9,2,16
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Iowa State (7),Northern Iowa (9),15,11,7,9
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Wisconsin (2),Iowa State (7),15,5,2,7
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Northern Iowa (9),Winona State (16),15,10,9,16
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Luther (3),Northern Michigan (12),15,5,3,12
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Wisconsin-Milwaukee (6),Wisconsin-La Crosse (13),15,1,6,13
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Luther (3),Wisconsin-La Crosse (13),15,2,3,13
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Wisconsin-Milwaukee (6),Northern Michigan (12),15,7,6,12
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Luther (3),Wisconsin-Milwaukee (6),10,8,3,6
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Northern Michigan (12),Wisconsin-La Crosse (13),15,9,12,13
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Carleton College (4),Marquette (11),15,12,4,11
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Minnesota-Duluth (5),Wisconsin (B) (14),12,10,5,14
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Carleton College (4),Wisconsin (B) (14),15,3,4,14
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Minnesota-Duluth (5),Marquette (11),12,14,5,11
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Carleton College (4),Minnesota-Duluth (5),15,9,4,5
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,pool,Marquette (11),Wisconsin (B) (14),15,13,11,14
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Carleton College (4),Wisconsin (2),5,15,4,2
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Minnesota (1),Carleton College (4),12,14,1,4
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Luther (3),Wisconsin (2),8,10,3,2
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Carleton College (4),Minnesota (1),15,13,4,1
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Minnesota (1),Luther (3),13,12,1,3
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Minnesota (1),Minnesota-Duluth (5),15,8,1,5
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Northern Iowa (9),Luther (3),11,15,9,3
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Minnesota-Duluth (5),Iowa State (7),15,14,5,7
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Northern Iowa (9),Marquette (11),15,11,9,11
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Wisconsin-Milwaukee (6),Minnesota-Duluth (5),9,14,6,5
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Wisconsin-Eau Claire (10),Iowa State (7),7,15,10,7
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Iowa (8),Northern Iowa (9),13,14,8,9
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Northern Michigan (12),Marquette (11),2,8,12,11
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Iowa State (7),Marquette (11),13,11,7,11
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Wisconsin-Milwaukee (6),Iowa (8),6,15,6,8
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Wisconsin-Milwaukee (6),Wisconsin-Eau Claire (10),15,8,6,10
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Iowa (8),Northern Michigan (12),15,7,8,12
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Northern Michigan (12),Wisconsin-Eau Claire (10),15,10,12,10
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Wisconsin (B) (14),Winona State (16),15,6,14,16
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Minnesota (B) (15),Wisconsin (B) (14),5,15,15,14
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Wisconsin-La Crosse (13),Winona State (16),10,15,13,16
North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/,bracket,Wisconsin-La Crosse (13),Minnesota (B) (15),13,12,13,15
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Wisconsin (1),Iowa State (6),13,3,1,6
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Iowa (4),Marquette (10),13,5,4,10
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Wisconsin-Milwaukee (7),Wisconsin-Stevens Point (11),13,3,7,11
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Wisconsin (1),Wisconsin-Stevens Point (11),13,4,1,11
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Iowa (4),Iowa State (6),13,8,4,6
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Wisconsin-Milwaukee (7),Marquette (10),9,8,7,10
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Wisconsin (1),Wisconsin-Milwaukee (7),13,3,1,7
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Iowa (4),Wisconsin-Stevens Point (11),13,12,4,11
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Iowa State (6),Marquette (10),13,6,6,10
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Wisconsin (1),Iowa (4),13,4,1,4
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Iowa State (6),Wisconsin-Milwaukee (7),6,13,6,7
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Marquette (10),Wisconsin-Stevens Point (11),12,13,10,11
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Wisconsin (1),Marquette (10),13,1,1,10
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Iowa (4),Wisconsin-Milwaukee (7),7,13,4,7
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Iowa State (6),Wisconsin-Stevens Point (11),13,4,6,11
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Carleton College (2),Luther (5),13,12,2,5
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Minnesota (3),Northern Iowa (9),13,5,3,9
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Minnesota-Duluth (8),Wisconsin-Whitewater (12),13,8,8,12
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Carleton College (2),Wisconsin-Whitewater (12),13,5,2,12
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Minnesota-Duluth (8),Northern Iowa (9),12,10,8,9
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Minnesota (3),Luther (5),14,12,3,5
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Carleton College (2),Minnesota-Duluth (8),13,2,2,8
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Minnesota (3),Wisconsin-Whitewater (12),13,1,3,12
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Luther (5),Northern Iowa (9),13,4,5,9
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Carleton College (2),Minnesota (3),4,13,2,3
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Luther (5),Minnesota-Duluth (8),13,11,5,8
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Northern Iowa (9),Wisconsin-Whitewater (12),12,11,9,12
North-Central-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/,pool,Carleton College (2),Northern Iowa (9),13,5,2,9
