,event,game_id,game_time,home_team,away_team,home_score,away_score
0,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206416,2/10/2019 12:30 PM,Brown (2),Central Florida (4),15,9
1,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206414,2/10/2019 10:30 AM,Brown (2),Georgia (10),15,11
2,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206415,2/10/2019 10:30 AM,Central Florida (4),Texas (27),12,11
3,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206410,2/9/2019 6:30 PM,Brown (2),Texas A&M; (25),15,9
4,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206411,2/9/2019 6:30 PM,Michigan (16),Georgia (10),8,13
5,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206412,2/9/2019 6:30 PM,Central Florida (4),Texas-Dallas (28),12,11
6,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206413,2/9/2019 6:30 PM,Pittsburgh (21),Texas (27),10,15
7,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206417,2/10/2019 12:30 PM,Georgia (10),Texas (27),10,13
8,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206420,2/10/2019 12:00 PM,Texas A&M; (25),Pittsburgh (21),10,12
9,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206418,2/10/2019 10:00 AM,Texas A&M; (25),Michigan (16),14,13
10,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206419,2/10/2019 10:00 AM,Texas-Dallas (28),Pittsburgh (21),10,12
11,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206421,2/10/2019 12:00 PM,Michigan (16),Texas-Dallas (28),10,9
12,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206428,2/10/2019 12:00 PM,LSU (15),Tufts (29),12,11
13,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206426,2/10/2019 10:00 AM,LSU (15),Harvard (11),15,10
14,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206427,2/10/2019 10:00 AM,Minnesota (17),Tufts (29),8,15
15,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206422,2/9/2019 6:00 PM,South Carolina (23),LSU (15),10,15
16,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206423,2/9/2019 6:00 PM,Kennesaw State (14),Harvard (11),11,12
17,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206424,2/9/2019 6:00 PM,Northeastern (18),Minnesota (17),9,13
18,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206425,2/9/2019 6:00 PM,Carleton College (3),Tufts (29),13,15
19,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206429,2/10/2019 12:00 PM,Harvard (11),Minnesota (17),7,11
20,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206432,2/10/2019 12:00 PM,Kennesaw State (14),Carleton College (3),4,15
21,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206430,2/10/2019 10:00 AM,South Carolina (23),Kennesaw State (14),12,13
22,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206431,2/10/2019 10:00 AM,Northeastern (18),Carleton College (3),10,15
23,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206433,2/10/2019 12:00 PM,South Carolina (23),Northeastern (18),6,11
24,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206440,2/10/2019 12:00 PM,Wisconsin (32),Emory (7),15,5
25,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206438,2/10/2019 10:00 AM,Wisconsin (32),Alabama-Huntsville (30),15,7
26,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206439,2/10/2019 10:00 AM,Emory (7),Oklahoma (20),13,11
27,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206434,2/9/2019 5:30 PM,Wisconsin (32),Illinois State (12),15,7
28,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206435,2/9/2019 5:30 PM,Alabama-Huntsville (30),Rutgers (22),15,11
29,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206436,2/9/2019 5:30 PM,Florida State (9),Emory (7),8,14
30,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206437,2/9/2019 5:30 PM,Northwestern (19),Oklahoma (20),13,15
31,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206441,2/10/2019 10:00 AM,Alabama-Huntsville (30),Oklahoma (20),13,11
32,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206444,2/10/2019 12:00 PM,Rutgers (22),Northwestern (19),13,14
33,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206442,2/10/2019 10:00 AM,Illinois State (12),Rutgers (22),9,13
34,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206443,2/10/2019 10:00 AM,Florida State (9),Northwestern (19),6,13
35,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206445,2/10/2019 12:00 PM,Illinois State (12),Florida State (9),12,11
36,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206452,2/10/2019 12:00 PM,Virginia Tech (31),Temple (26),12,10
37,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206450,2/10/2019 10:00 AM,Virginia Tech (31),Kansas (13),12,11
38,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206451,2/10/2019 10:00 AM,Temple (26),Cornell (6),14,11
39,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206446,2/9/2019 5:30 PM,Virginia Tech (31),South Florida (24),11,8
40,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206447,2/9/2019 5:30 PM,Kansas (13),Cincinnati (5),8,7
41,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206448,2/9/2019 5:30 PM,Florida (8),Temple (26),9,15
42,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206449,2/9/2019 5:30 PM,Cornell (6),Boston College (1),12,11
43,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206453,2/10/2019 12:00 PM,Kansas (13),Cornell (6),15,6
44,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206526,2/10/2019 12:00 PM,North Florida (44),Florida (B) (35),11,8
45,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206524,2/10/2019 10:00 AM,North Florida (44),Florida Gulf Coast (37),15,9
46,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206525,2/10/2019 10:00 AM,Florida (B) (35),Florida State (B) (45),15,7
47,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206527,2/10/2019 12:00 PM,Florida Gulf Coast (37),Florida State (B) (45),3,8
48,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206530,2/10/2019 12:00 PM,Embry-Riddle (Florida) (38),High Point (39),12,10
49,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206528,2/10/2019 10:00 AM,Boston College (B) (34),Embry-Riddle (Florida) (38),6,15
50,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206529,2/10/2019 10:00 AM,High Point (39),Central Florida (B) (42),14,8
51,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206531,2/10/2019 12:00 PM,Boston College (B) (34),Central Florida (B) (42),11,4
52,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206534,2/10/2019 12:00 PM,Northwestern (B) (40),Stetson (43),15,4
53,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206532,2/10/2019 10:00 AM,Northwestern (B) (40),Florida Tech (B) (36),15,6
54,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206533,2/10/2019 10:00 AM,Stetson (43),South Florida (B) (41),12,10
55,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,game206535,2/10/2019 12:00 PM,Florida Tech (B) (36),South Florida (B) (41),10,8
