,event,table,Date,Time,home_team,away_team,home_score,away_score
0,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,9:00 AM,Harvard (11),Oklahoma (20),13,9
1,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,9:00 AM,Kansas (13),Kennesaw State (14),10,12
2,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,9:00 AM,Alabama-Huntsville (30),Texas-Dallas (28),7,13
3,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,9:00 AM,Texas A&M; (25),South Carolina (23),10,12
4,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,9:00 AM,Rutgers (22),Michigan (16),10,13
5,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,9:00 AM,Northeastern (18),Northwestern (19),11,12
6,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,Georgia (10),Texas A&M; (25),13,12
7,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,Illinois State (12),South Carolina (23),10,12
8,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,Central Florida (4),Tufts (29),13,11
9,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,LSU (15),Northeastern (18),8,9
10,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,Brigham Young (33),Texas (27),13,12
11,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,Cornell (6),Kansas (13),9,12
12,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,Texas-Dallas (28),Kennesaw State (14),13,9
13,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,Pittsburgh (21),Northwestern (19),13,7
14,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,Virginia Tech (31),Florida State (9),9,13
15,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,Boston College (1),Michigan (16),9,13
16,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,Rutgers (22),Florida (8),11,9
17,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,11:00 AM,Harvard (11),Carleton College (3),12,14
18,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Kennesaw State (14),Northwestern (19),13,8
19,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Central Florida (4),Texas (27),13,7
20,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Emory (7),Oklahoma (20),12,8
21,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Cincinnati (5),Cornell (6),10,13
22,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Rutgers (22),Georgia (10),6,13
23,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Texas-Dallas (28),Brown (2),10,12
24,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Virginia Tech (31),Wisconsin (32),13,12
25,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,LSU (15),Harvard (11),10,11
26,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Minnesota (17),Florida State (9),13,10
27,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Boston College (1),Illinois State (12),12,13
28,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Michigan (16),Florida (8),13,6
29,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,South Florida (24),Brigham Young (33),7,13
30,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,South Carolina (23),Alabama-Huntsville (30),13,10
31,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Northeastern (18),Texas A&M; (25),9,12
32,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,1:00 PM,Kansas (13),Temple (26),12,13
33,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,3:00 PM,Central Florida (4),Virginia Tech (31),13,6
34,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,3:00 PM,Brown (2),Minnesota (17),13,7
35,Florida-Warm-Up-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 2/8,3:00 PM,Alabama-Huntsville (30),Cornell (6),11,7
