season,Rank,Team,PR,Region,Conf,W,L
2014_college,1,Colorado,2094.6,SC,Rocky Mountain DI,19,2
2014_college,2,North Carolina,2071.3,AC,Carolina DI,24,3
2014_college,3,Texas,1960.8,SC,South Texas DI,18,4
2014_college,4,Pittsburgh,1933.1,OV,West Penn DI,20,7
2014_college,5,Oregon,1898.8,NW,Cascadia DI,22,7
2014_college,6,Texas A&M,1897.2,SC,South Texas DI,14,6
2014_college,7,Florida State,1887.6,SE,Florida DI,17,8
2014_college,8,Harvard,1884.2,NE,Metro Boston DI,13,5
2014_college,9,Minnesota,1877.5,NC,Northwoods DI,15,7
2014_college,10,North Carolina-Wilmington,1849.2,AC,Carolina DI,20,8
2014_college,11,Florida,1844.8,SE,Florida DI,19,7
2014_college,12,Central Florida,1842.9,SE,Florida DI,8,3
2014_college,13,California-San Diego,1827,SW,SoCal DI,16,5
2014_college,14,Brown,1811.5,NE,SNE DI,13,1
2014_college,15,Wisconsin,1803.7,NC,Lake Superior DI,11,11
2014_college,16,Michigan,1803.4,GL,Michigan DI,10,3
2014_college,17,Tufts,1786.7,NE,Metro Boston DI,13,8
2014_college,18,Northwestern,1786.2,GL,Illinois DI,6,3
2014_college,19,Massachusetts,1780.4,NE,SNE DI,14,4
2014_college,20,Northern Iowa,1776.4,NC,West Plains DI,14,7
2014_college,21,Luther,1739.4,NC,West Plains DI,9,4
2014_college,22,Arizona State,1728.9,SW,Desert DI,14,8
2014_college,23,British Columbia,1719.7,NW,Cascadia DI,12,10
2014_college,24,Eastern Michigan,1705.7,GL,Michigan DI,15,3
2014_college,25,Stanford,1690,SW,NorCal DI,11,10
2014_college,26,California,1685.2,SW,NorCal DI,18,17
2014_college,27,Illinois,1682,GL,Illinois DI,7,4
2014_college,28,Maryland,1681.9,AC,Colonial DI,12,3
2014_college,29,Washington,1654,NW,Cascadia DI,10,6
2014_college,30,Penn State,1647.5,OV,West Penn DI,12,6
2014_college,31,North Carolina State,1630.5,AC,Carolina DI,13,9
2014_college,32,Las Positas,1624.6,SW,NorCal DI,16,12
2014_college,33,California-Davis,1599.8,SW,NorCal DI,9,9
2014_college,34,Minnesota-Duluth,1588.7,NC,Northwoods DI,20,7
2014_college,35,Wisconsin-Milwaukee,1569.4,NC,Lake Superior DI,12,7
2014_college,36,San Diego State,1567.7,SW,SoCal DI,10,5
