Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses
1,Pittsburgh ,1981,College,Men,Division I,Pittsburgh,PA,40,4
2,North Carolina ,1947,College,Men,Division I,Chapel Hill,NC,37,8
3,Florida State ,1908,College,Men,Division I,Tallahassee,FL,36,6
4,Central Florida ,1887,College,Men,Division I,Orlando,FL,32,11
5,Massachusetts ,1876,College,Men,Division I,Amherst,MA,24,10
6,Oregon ,1872,College,Men,Division I,Eugene,OR,40,7
7,North Carolina-Wilmington ,1867,College,Men,Division I,Wilmington,NC,44,8
8,Colorado ,1850,College,Men,Division I,Boulder,CO,28,6
9,Texas A&M ,1837,College,Men,Division I,College Station,TX,22,7
10,Carleton College ,1729,College,Men,Division I,Northfield,MN,21,10
11,Minnesota ,1729,College,Men,Division I,Minneapolis,MN,28,11
12,Wisconsin ,1728,College,Men,Division I,Madison,WI,20,14
13,Florida ,1727,College,Men,Division I,Gainesville,FL,26,15
14,Arizona State ,1725,College,Men,Division I,Tempel,AZ,17,8
15,Georgia ,1722,College,Men,Division I,Athens,GA,24,13
16,Cincinnati ,1686,College,Men,Division I,Cincinnati,OH,18,8
17,Washington ,1679,College,Men,Division I,Seattle,WA,25,6
18,Maryland ,1675,College,Men,Division I,College Park,MD,25,12
19,Texas ,1675,College,Men,Division I,Austin,TX,25,14
20,Tulane ,1632,College,Men,Division I,New Orleans,LA,22,10
21,Tufts ,1614,College,Men,Division I,Medford,MA,20,10
22,California-Santa Barbara ,1612,College,Men,Division I,Goleta,CA,29,8
23,Michigan ,1602,College,Men,Division I,Ann Arbor,MI,19,7
24,Western Washington ,1589,College,Men,Division I,Bellingham,WA,22,12
25,Stanford ,1581,College,Men,Division I,Stanford,CA,22,11
26,Illinois ,1566,College,Men,Division I,Champaign,IL,23,16
27,Auburn ,1562,College,Men,Division I,Auburn,AL,22,18
28,Virginia ,1551,College,Men,Division I,Charlottesville,VA,18,10
29,Harvard ,1550,College,Men,Division I,Cambridge,MA,16,13
30,Franciscan ,1549,College,Men,Division III,Steubenville,OH,28,0
31,Chico State ,1537,College,Men,Division I,Chico,CA,17,6
32,British Columbia ,1535,College,Men,Division I,Vancouver,BC,11,4
33,Brandeis ,1506,College,Men,Division III,Waltham,MA,26,4
34,North Carolina State ,1501,College,Men,Division I,Raleigh,NC,19,17
35,Luther ,1500,College,Men,Division I,Decorah,IA,17,17
36,California-San Diego ,1499,College,Men,Division I,San Diego,CA,24,10
37,Ohio State ,1493,College,Men,Division I,Columbus,OH,24,11
38,Northwestern ,1488,College,Men,Division I,Evanston,IL,19,14
39,Missouri ,1485,College,Men,Division I,Columbia,MO,18,11
40,Notre Dame ,1466,College,Men,Division I,Notre Dame,IN,24,8
41,Iowa ,1461,College,Men,Division I,Iowa City,IA,25,12
42,Bryant ,1453,College,Men,Division III,Smithfield,RI,18,6
43,Georgia Tech ,1446,College,Men,Division I,Atlanta,GA,15,24
44,Penn State ,1429,College,Men,Division I,State College,PA,15,9
45,Victoria ,1416,College,Men,Division I,Victoria,BC,17,10
46,Virginia Commonwealth ,1415,College,Men,Division I,Richmond,VA,21,11
47,Colorado College ,1412,College,Men,Division I,Colorado Springs,CO,17,13
48,Delaware ,1409,College,Men,Division I,Newark,DE,12,8
49,Maryland B ,1408,College,Women,Developmental,College Park,MD,6,1
50,Appalachian State ,1407,College,Men,Division I,Boone,NC,17,11
51,Brown ,1405,College,Men,Division I,Providence,RI,17,6
52,Iowa State ,1401,College,Men,Division I,Ames,IA,18,15
53,Carleton College-GOP ,1391,College,Men,Division III,Northfield,MN,20,8
54,Amherst ,1380,College,Men,Division III,Amherst,MA,21,4
55,Wisconsin-Milwaukee ,1378,College,Men,Division I,Milwaukee,WI,18,21
56,South Carolina ,1375,College,Men,Division I,Columbia,SC,14,7
57,Colorado State ,1374,College,Men,Division I,Fort Collins,CO,19,14
58,Kennesaw State ,1374,College,Men,Division I,Kennesaw,GA,12,8
59,Ohio ,1371,College,Men,Division I,Athens,OH,24,6
60,Washington University ,1371,College,Men,Division I,St. Louis,MO,14,13
61,Georgia College ,1371,College,Men,Division III,Milledgeville,GA,19,4
62,Tennessee ,1364,College,Men,Division I,Knoxville,TN,16,14
63,Lehigh ,1347,Club,Men,Division I,Bethlehem,PA,12,5
64,Cal Poly-SLO ,1333,College,Men,Division I,San Luis Obispo,CA,13,12
65,Minnesota-Duluth ,1327,College,Men,Division I,Duluth,MN,24,9
66,Virginia B ,1325,College,Women,Developmental,Charlottesville,VA,6,1
67,California-Davis ,1324,College,Men,Division I,Davis,CA,15,8
68,William & Mary ,1323,College,Men,Division I,Williamsburg,VA,7,9
69,Cornell ,1322,College,Men,Division I,Ithaca,NY,14,20
70,Tennessee-Chattanooga ,1321,College,Men,Division I,Chattanooga,TN,18,5
71,Case Western Reserve ,1319,College,Men,Division I,Cleveland,OH,18,9
72,Alabama ,1307,College,Men,Division I,Tuscaloosa,AL,18,13
73,SUNY-Geneseo ,1306,College,Men,Division III,Geneseo,NY,21,6
74,New Hampshire ,1292,College,Men,Division I,Durham,NH,8,5
75,Oregon State ,1285,College,Men,Division I,Corvallis,OR,15,10
76,Dartmouth ,1284,College,Men,Division I,Hanover,NH,11,12
77,UCLA ,1282,College,Men,Division I,Los Angeles,CA,12,13
78,Virginia Tech ,1280,College,Men,Division I,Blacksburg,VA,10,12
79,Connecticut ,1279,College,Men,Division I,Storrs,CT,11,9
80,Georgetown ,1279,College,Men,Division I,Washington,DC,14,16
81,Brigham Young ,1260,College,Men,Division I,Provo,UT,5,0
82,Bowdoin ,1258,College,Men,Division III,Brunswick,ME,17,8
83,Claremont ,1258,College,Men,Division III,Claremont ,CA,9,6
84,LSU ,1258,College,Men,Division I,Baton Rouge,LA,16,12
85,Arkansas ,1255,College,Men,Division I,Fayetteville,AR,12,13
86,Middlebury ,1249,College,Men,Division III,Middlebury,VT,13,9
87,Messiah  ,1249,College,Men,Division III,Mechanicsburg,PA,23,5
88,Elon ,1247,College,Men,Division III,Elon,NC,24,8
89,Missouri State University ,1245,College,Men,Division I,Springfield,MO,1,0
90,Eastern Michigan ,1241,College,Men,Division I,Ypsilanti,MI,12,11
91,Purdue ,1230,College,Men,Division I,West Lafayette,IN,17,7
92,California ,1226,College,Men,Division I,Berkeley,CA,16,24
93,San Diego State ,1224,College,Men,Division I,San Diego,CA,17,16
94,Pennsylvania ,1211,College,Men,Division I,Philadelphia,PA,12,10
95,John Brown ,1211,College,Men,Division III,Siloam Springs,AR,25,8
96,Arizona ,1196,College,Men,Division I,Tucson,AZ,5,11
97,Chicago ,1191,College,Men,Division I,Chicago,IL,13,16
98,Williams ,1190,College,Men,Division III,Williamstown,MA,11,8
99,Michigan State ,1188,College,Men,Division I,East Lansing,MI,10,11
100,Lewis & Clark ,1180,College,Men,Division III,Portland,OR,16,7
101,Southern California ,1179,College,Men,Division I,Los Angeles,CA,12,10
102,California-Santa Cruz ,1166,College,Men,Division I,Santa Cruz,CA,9,14
103,Baylor ,1163,College,Men,Division I,Waco,TX,18,6
104,Northern Iowa ,1162,College,Men,Division I,Cedar Falls,IA,15,16
105,Kansas ,1161,College,Men,Division I,Lawrence,KS,18,6
106,American ,1160,College,Men,Division I,Washington,DC,15,9
107,Illinois State ,1159,College,Men,Division I,Normal,IL,17,10
108,St Olaf ,1158,College,Men,Division III,Northfield,MN,17,7
109,Vanderbilt ,1145,College,Men,Division I,Nashville,TN,12,9
110,Utah ,1140,College,Men,Division I,Salt Lake City,UT,10,13
111,West Chester ,1133,College,Men,Division I,West Chester,PA,22,8
112,Davidson ,1130,College,Men,Division III,Davidson,NC,17,19
113,Florida B ,1124,College,Men,Developmental,Gainesville,FL,17,4
114,Dayton ,1123,College,Men,Division I,Dayton,OH,10,11
115,Rice ,1121,College,Men,Division III,Houston,TX,18,3
116,Edinboro ,1119,College,Men,Division I,Edinboro,PA,12,8
117,Temple ,1119,College,Men,Division I,Philadelphia,PA,18,8
118,Rutgers ,1117,College,Men,Division I,New Brunswick,NJ,6,7
119,Boise State ,1111,College,Men,Division I,Boise,ID,12,9
120,Alabama-Huntsville ,1111,College,Men,Division III,Huntsville,AL,14,3
121,George Mason ,1110,College,Men,Division I,Fairfax,VA,8,5
122,Indiana ,1109,College,Men,Division I,Bloomington,IN,20,11
123,Boston College ,1107,College,Men,Division I,Chestnut Hill,MA,13,13
124,James Madison ,1107,College,Men,Division I,Harrisonburg,VA,6,6
125,Texas State ,1105,College,Men,Division I,San Marcos,TX,11,7
126,North Park ,1100,College,Men,Division III,Chicago,IL,22,10
127,Wright State ,1094,College,Men,Division I,Dayton,OH,8,11
128,Miami ,1093,College,Men,Division I,Coral Gables,FL,11,10
129,Texas Christian ,1091,College,Men,Division I,Fort Worth,TX,17,7
130,Duke ,1090,College,Men,Division I,Durham,NC,5,5
131,Wisconsin-Whitewater ,1089,College,Men,Division I,Whitewater,WI,2,6
132,Loyola-Chicago ,1089,College,Men,Division I,Chicago,IL,13,9
133,Georgia Southern ,1084,College,Men,Division I,"Statesboro, GA",GA,8,9
134,Richmond ,1083,College,Men,Division III,Richmond,VA,20,8
135,St John's ,1083,College,Men,Division III,Collegeville,MN,12,6
136,Oberlin ,1078,College,Men,Division III,Oberlin,OH,14,10
137,South Florida ,1076,College,Men,Division I,Tampa,FL,8,18
138,Delaware B ,1075,College,Women,Developmental,Newark,DE,3,3
139,George Washington ,1072,College,Men,Division I,Washington,DC,12,10
140,Clemson ,1069,College,Men,Division I,Clemson,SC,10,12
141,SUNY-Fredonia ,1056,College,Men,Division III,Fredonia,NY,17,5
142,Santa Clara ,1037,College,Men,Division I,Santa Clara,CA,9,12
143,Vermont ,1031,College,Men,Division I,Burlington,VT,7,12
144,Michigan B ,1027,College,Men,Developmental,Ann Arbor,MI,18,8
145,Oklahoma ,1024,College,Men,Division I,Norman,OK,9,15
146,Worcester Polytech ,1017,College,Men,Division III,Worcester,MA,12,11
147,Truman State ,1016,College,Men,Division III,Kirksville,MO,17,13
148,Shippensburg ,1012,College,Men,Division I,Shippensburg,PA,17,11
149,Hamilton ,1009,College,Men,Division III,Clinton,NY,12,4
150,Las Positas ,1004,College,Men,Division I,Livermore,CA,4,4
151,Montana State  ,1003,College,Men,Division I,Bozeman,MT,10,10
152,Syracuse ,1001,College,Men,Division I,Syracuse,NY,9,6
153,Columbia ,996,College,Men,Division I,New York,NY,8,12
154,Queens-Kingston ,995,College,Men,Division I,Kingston,ON,10,6
155,Cedarville ,995,College,Men,Division III,Cedarville,OH,14,11
156,Whitman ,991,College,Men,Division I,Walla Walla,WA,11,16
157,Portland State ,990,College,Men,Division I,Portland,OR,8,10
