Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses,dataset_id,season
1,Massachusetts ,2067,College,Men,Division I,Amherst,MA,28,4,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
2,Minnesota ,2007,College,Men,Division I,Minneapolis,MN,39,6,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
3,Wisconsin ,1961,College,Men,Division I,Madison,WI,33,6,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
4,Oregon ,1956,College,Men,Division I,Eugene,OR,44,3,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
5,Pittsburgh ,1952,College,Men,Division I,Pittsburgh,PA,33,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
6,North Carolina-Wilmington ,1910,College,Men,Division I,Wilmington,NC,30,8,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
7,Colorado ,1897,College,Men,Division I,Boulder,CO,26,8,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
8,Stanford ,1867,College,Men,Division I,Stanford,CA,25,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
9,Georgia ,1866,College,Men,Division I,Athens,GA,27,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
10,Carleton College ,1865,College,Men,Division I,Northfield,MN,24,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
11,Harvard ,1838,College,Men,Division I,Cambridge,MA,28,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
12,North Carolina ,1831,College,Men,Division I,Chapel Hill,NC,22,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
