Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses,dataset_id,season
1,Massachusetts,2067,College,Men,Division I,Amherst,MA,28,4,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
2,Minnesota,2007,College,Men,Division I,Minneapolis,MN,39,6,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
3,Wisconsin,1961,College,Men,Division I,Madison,WI,33,6,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
4,Oregon,1956,College,Men,Division I,Eugene,OR,44,3,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
5,Pittsburgh,1952,College,Men,Division I,Pittsburgh,PA,33,9,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
6,North Carolina-Wilmington,1910,College,Men,Division I,Wilmington,NC,30,8,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
7,Colorado,1897,College,Men,Division I,Boulder,CO,26,8,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
8,Stanford,1867,College,Men,Division I,Stanford,CA,25,7,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
9,Georgia,1866,College,Men,Division I,Athens,GA,27,7,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
10,Carleton College,1865,College,Men,Division I,Northfield,MN,24,14,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
11,Harvard,1838,College,Men,Division I,Cambridge,MA,28,10,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
12,North Carolina,1831,College,Men,Division I,Chapel Hill,NC,22,9,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
13,Florida,1827,College,Men,Division I,Gainesville,FL,28,13,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
14,Texas A&M,1812,College,Men,Division I,COLLEGE STATION,TX,21,11,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
15,British Columbia,1773,College,Men,Division I,Vancouver,BC,25,10,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
16,Brigham Young,1737,College,Men,Division I,Provo,UT,18,11,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
17,Michigan,1733,College,Men,Division I,Ann Arbor,MI,23,10,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
18,Auburn,1729,College,Men,Division I,Auburn,AL,28,15,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
19,Washington,1708,College,Men,Division I,Seattle,WA,35,13,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
20,Ohio State,1704,College,Men,Division I,Columbus,OH,24,10,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
Rows: 1 - 20 of 374« Previous 20 |  1 2 3 4 5 6 7 8 9 10 11 | Next 20 »   Page: 1 of 19,Rows: 1 - 20 of 374« Previous 20 |  1 2 3 4 5 6 7 8 9 10 11 | Next 20 »,Page: 1 of 19,,,,,,,,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
Rows: 1 - 20 of 374« Previous 20 |  1 2 3 4 5 6 7 8 9 10 11 | Next 20 »,Page: 1 of 19,,,,,,,,,t2KVAfBocusnTWi5bEGhMvmpuCqHHOCDVr1XQc6TLYk%3d,2016_college_series
