,event,type,winner_team,winner_score,loser_team,loser_score
0,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Texas A&M (12),Washington (13),15,13
1,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Georgia (8),Washington (13),14,11
2,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Massachusetts (1),Cal Poly-SLO (17),15,8
3,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Massachusetts (1),Texas A&M (12),15,9
4,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Georgia (8),Cal Poly-SLO (17),15,13
5,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Massachusetts (1),Washington (13),14,13
6,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Washington (13),Cal Poly-SLO (17),15,14
7,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Oregon (2),Case Western Reserve (18),14,12
8,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina (7),Florida State (14),16,14
9,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Oregon (2),North Carolina (7),14,12
10,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Colorado (11),Florida State (14),15,12
11,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Colorado (11),Case Western Reserve (18),15,11
12,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina (7),Case Western Reserve (18),16,15
13,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Florida State (14),Case Western Reserve (18),15,11
14,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Oregon (2),Florida State (14),15,11
15,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Wisconsin (6),Michigan (15),15,9
16,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Harvard (10),Connecticut (19),15,10
17,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Michigan (15),Connecticut (19),12,9
18,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Wisconsin (6),Connecticut (19),15,9
19,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (3),Michigan (15),14,12
20,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Wisconsin (6),Harvard (10),15,6
21,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Carleton College (9),Utah (20),15,6
22,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Minnesota (4),Utah (20),15,8
23,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Carleton College (9),Auburn (16),16,15
24,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Minnesota (4),Carleton College (9),15,11
25,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Auburn (16),Utah (20),15,12
26,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Pittsburgh (5),Utah (20),15,7
27,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Pittsburgh (5),Carleton College (9),15,10
28,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Harvard (10),North Carolina (7),13,11
29,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Harvard (10),Georgia (8),14,13
30,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,North Carolina (7),Auburn (16),15,13
31,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Pittsburgh (5),Wisconsin (6),14,12
32,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Minnesota (4),Colorado (11),15,11
33,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Pittsburgh (5),Texas A&M (12),15,9
34,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Carleton College (9),Cal Poly-SLO (17),15,8
35,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,North Carolina-Wilmington (3),Florida State (14),13,6
36,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,11,15,Massachusetts (1),Georgia (8)
37,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,11,13,Texas A&M (12),Cal Poly-SLO (17)
38,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,2,15,Georgia (8),Texas A&M (12)
39,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,9,15,Oregon (2),Colorado (11)
40,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,12,15,North Carolina (7),Colorado (11)
41,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,11,15,North Carolina-Wilmington (3),Wisconsin (6)
42,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,13,15,Harvard (10),Michigan (15)
43,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,12,15,North Carolina-Wilmington (3),Connecticut (19)
44,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,12,15,North Carolina-Wilmington (3),Harvard (10)
45,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,13,15,Pittsburgh (5),Auburn (16)
46,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,13,15,Minnesota (4),Pittsburgh (5)
47,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,13,14,Minnesota (4),Auburn (16)
48,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,12,15,Harvard (10),Minnesota (4)
49,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,13,14,Pittsburgh (5),Minnesota (4)
50,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,13,15,Oregon (2),Harvard (10)
51,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,12,15,Michigan (15),North Carolina (7)
52,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,10,14,Massachusetts (1),Minnesota (4)
53,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,9,15,Washington (13),Utah (20)
54,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,14,16,Case Western Reserve (18),Connecticut (19)
