year,event,game_id,game_time,home_team,away_team,home_score,away_score
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29088,5/26/2014 2:30 PM,Colorado (1),North Carolina (6),15,10
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29086,5/25/2014 5:30 PM,Colorado (1),Oregon (4),15,8
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29087,5/25/2014 8:00 PM,North Carolina (6),North Carolina-Wilmington (5),15,10
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29082,5/25/2014 8:30 AM,Michigan (11),Colorado (1),10,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29083,5/25/2014 8:30 AM,Texas (3),Oregon (4),10,15
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29084,5/25/2014 8:30 AM,Wisconsin (12),North Carolina (6),9,15
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29085,5/25/2014 8:30 AM,North Carolina-Wilmington (5),Pittsburgh (2),14,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29078,5/24/2014 5:00 PM,Michigan (11),Tufts (15),15,12
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29079,5/24/2014 5:00 PM,Texas (3),Central Florida (14),15,14
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29080,5/24/2014 5:00 PM,Carleton College (16),Wisconsin (12),7,15
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29081,5/24/2014 5:00 PM,Harvard (8),North Carolina-Wilmington (5),13,14
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29089,5/25/2014 8:30 AM,California-San Diego (13),Rutgers (20),15,8
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29090,5/24/2014 5:00 PM,Dartmouth (18),Florida State (10),12,15
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29091,5/24/2014 5:00 PM,Florida (9),Eastern Michigan (17),15,7
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,game29092,5/25/2014 8:30 AM,Massachusetts (19),Texas A&M (7),15,5
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72034,5/25/2015 2:30 PM,Oregon (15),North Carolina (3),6,15
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72032,5/24/2015 5:30 PM,Oregon (15),Florida State (6),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72033,5/24/2015 8:00 PM,North Carolina (3),Central Florida (7),15,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72028,5/24/2015 8:30 AM,Oregon (15),Texas (13),15,9
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72029,5/24/2015 8:30 AM,Florida State (6),Massachusetts (9),12,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72030,5/24/2015 8:30 AM,Colorado (5),North Carolina (3),9,15
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72031,5/24/2015 8:30 AM,Pittsburgh (1),Central Florida (7),9,15
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72024,5/23/2015 5:00 PM,Minnesota (11),Oregon (15),11,14
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72025,5/23/2015 5:00 PM,Florida State (6),Texas A&M (2),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72026,5/23/2015 5:00 PM,Colorado (5),Georgia (8),14,9
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72027,5/23/2015 5:00 PM,Pittsburgh (1),North Carolina-Wilmington (4),14,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72047,5/24/2015 8:30 AM,Wisconsin (12),Cornell (20),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72048,5/23/2015 5:00 PM,Cincinnati (18),Illinois (19),12,15
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72049,5/23/2015 5:00 PM,California-Santa Barbara (16),Auburn (17),11,14
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,game72050,5/24/2015 8:30 AM,Maryland (10),Western Washington (14),10,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,game110974,5/30/2016 2:30 PM,Harvard (10),Minnesota (4),12,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,game110972,5/29/2016 5:30 PM,Harvard (10),North Carolina (7),13,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,game110973,5/29/2016 8:00 PM,Pittsburgh (5),Minnesota (4),13,14
