year,event,type,winner_team,loser_team,winner_score,loser_score
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (1),Harvard (8),15,11
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (12),California-San Diego (13),15,7
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Harvard (8),California-San Diego (13),15,14
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (12),Eastern Michigan (17),15,11
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (1),Eastern Michigan (17),15,9
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (1),Wisconsin (12),14,12
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Harvard (8),Eastern Michigan (17),15,12
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Harvard (8),Wisconsin (12),14,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,California-San Diego (13),Eastern Michigan (17),15,12
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Dartmouth (18),15,8
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Michigan (11),Central Florida (14),14,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Texas A&M (7),15,9
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Michigan (11),15,8
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Texas A&M (7),Dartmouth (18),15,12
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Central Florida (14),Dartmouth (18),15,11
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Central Florida (14),15,12
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (6),Tufts (15),15,14
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Florida State (10),Massachusetts (19),14,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Texas (3),Massachusetts (19),16,14
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Tufts (15),Massachusetts (19),14,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Texas (3),Florida State (10),15,10
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (6),Massachusetts (19),15,6
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Texas (3),Tufts (15),15,11
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Florida (9),Rutgers (20),15,10
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),Rutgers (20),15,5
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),North Carolina-Wilmington (5),15,12
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),Florida (9),15,10
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (16),Rutgers (20),15,14
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (5),Rutgers (20),15,11
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (5),Florida (9),14,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),Carleton College (16),15,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Colorado (1),North Carolina (6),15,10
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Colorado (1),Oregon (4),15,8
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,North Carolina (6),North Carolina-Wilmington (5),15,10
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,North Carolina-Wilmington (5),Pittsburgh (2),14,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Michigan (11),Tufts (15),15,12
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Texas (3),Central Florida (14),15,14
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,California-San Diego (13),Rutgers (20),15,8
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Florida (9),Eastern Michigan (17),15,7
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Massachusetts (19),Texas A&M (7),15,5
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,California-San Diego (13),Colorado (1),16,15
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Central Florida (14),Texas A&M (7),15,11
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Dartmouth (18),Michigan (11),13,11
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Michigan (11),Texas A&M (7),15,12
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Tufts (15),Florida State (10),14,11
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (6),Texas (3),14,12
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Florida State (10),North Carolina (6),15,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (16),North Carolina-Wilmington (5),15,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (16),Florida (9),14,10
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Colorado (1),Michigan (11),13,10
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Oregon (4),Texas (3),15,10
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,North Carolina (6),Wisconsin (12),15,9
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Wisconsin (12),Carleton College (16),15,7
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,North Carolina-Wilmington (5),Harvard (8),14,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Florida State (10),Dartmouth (18),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Pittsburgh (1),Georgia (8),15,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Wisconsin (12),Auburn (17),15,9
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Pittsburgh (1),Auburn (17),15,4
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Pittsburgh (1),Wisconsin (12),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Georgia (8),Auburn (17),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Georgia (8),Wisconsin (12),15,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas A&M (2),Cincinnati (18),14,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Central Florida (7),Western Washington (14),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Minnesota (11),Western Washington (14),14,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Minnesota (11),Cincinnati (18),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Central Florida (7),Cincinnati (18),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Western Washington (14),Cincinnati (18),14,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Central Florida (7),Minnesota (11),15,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas A&M (2),Western Washington (14),15,9
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Florida State (6),Oregon (15),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina (3),Florida State (6),13,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Maryland (10),Oregon (15),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina (3),Illinois (19),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Oregon (15),Illinois (19),15,7
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina (3),Maryland (10),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Florida State (6),Illinois (19),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Florida State (6),Maryland (10),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Colorado (5),California-Santa Barbara (16),14,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Massachusetts (9),Cornell (20),15,7
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (4),Cornell (20),14,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Massachusetts (9),California-Santa Barbara (16),15,7
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,California-Santa Barbara (16),Cornell (20),15,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Colorado (5),Cornell (20),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (4),California-Santa Barbara (16),14,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Oregon (15),Florida State (6),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,North Carolina (3),Central Florida (7),15,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Oregon (15),Texas (13),15,9
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Florida State (6),Massachusetts (9),12,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Florida State (6),Texas A&M (2),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Colorado (5),Georgia (8),14,9
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Pittsburgh (1),North Carolina-Wilmington (4),14,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Wisconsin (12),Cornell (20),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas (13),Wisconsin (12),14,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas (13),Georgia (8),15,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas (13),Pittsburgh (1),13,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Auburn (17),Texas (13),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Central Florida (7),Texas A&M (2),14,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Minnesota (11),Texas A&M (2),15,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Illinois (19),Maryland (10),15,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Oregon (15),North Carolina (3),15,5
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Colorado (5),North Carolina-Wilmington (4),14,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Massachusetts (9),North Carolina-Wilmington (4),15,9
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Massachusetts (9),Colorado (5),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,North Carolina (3),Oregon (15),15,6
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,North Carolina (3),Colorado (5),15,9
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Central Florida (7),Pittsburgh (1),15,9
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Oregon (15),Minnesota (11),14,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Illinois (19),Cincinnati (18),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Auburn (17),California-Santa Barbara (16),14,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Western Washington (14),Maryland (10),15,10
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Texas A&M (12),Washington (13),15,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Georgia (8),Washington (13),14,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Massachusetts (1),Cal Poly-SLO (17),15,8
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Massachusetts (1),Texas A&M (12),15,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Georgia (8),Cal Poly-SLO (17),15,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Massachusetts (1),Washington (13),14,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Washington (13),Cal Poly-SLO (17),15,14
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Oregon (2),Case Western Reserve (18),14,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina (7),Florida State (14),16,14
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Oregon (2),North Carolina (7),14,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Colorado (11),Florida State (14),15,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Colorado (11),Case Western Reserve (18),15,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina (7),Case Western Reserve (18),16,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Florida State (14),Case Western Reserve (18),15,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Oregon (2),Florida State (14),15,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Wisconsin (6),Michigan (15),15,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Harvard (10),Connecticut (19),15,10
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Michigan (15),Connecticut (19),12,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Wisconsin (6),Connecticut (19),15,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (3),Michigan (15),14,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Wisconsin (6),Harvard (10),15,6
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Carleton College (9),Utah (20),15,6
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Minnesota (4),Utah (20),15,8
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Carleton College (9),Auburn (16),16,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Minnesota (4),Carleton College (9),15,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Auburn (16),Utah (20),15,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Pittsburgh (5),Utah (20),15,7
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Pittsburgh (5),Carleton College (9),15,10
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Harvard (10),North Carolina (7),13,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Harvard (10),Georgia (8),14,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,North Carolina (7),Auburn (16),15,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Pittsburgh (5),Wisconsin (6),14,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Minnesota (4),Colorado (11),15,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Pittsburgh (5),Texas A&M (12),15,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Carleton College (9),Cal Poly-SLO (17),15,8
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,North Carolina-Wilmington (3),Florida State (14),13,6
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Georgia (8),Massachusetts (1),15,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Cal Poly-SLO (17),Texas A&M (12),13,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Texas A&M (12),Georgia (8),15,2
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Colorado (11),Oregon (2),15,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Colorado (11),North Carolina (7),15,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Wisconsin (6),North Carolina-Wilmington (3),15,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Michigan (15),Harvard (10),15,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Connecticut (19),North Carolina-Wilmington (3),15,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Harvard (10),North Carolina-Wilmington (3),15,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Auburn (16),Pittsburgh (5),15,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Pittsburgh (5),Minnesota (4),15,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Auburn (16),Minnesota (4),14,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Minnesota (4),Harvard (10),15,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Minnesota (4),Pittsburgh (5),14,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Harvard (10),Oregon (2),15,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,North Carolina (7),Michigan (15),15,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Minnesota (4),Massachusetts (1),14,10
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Utah (20),Washington (13),15,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,bracket,Connecticut (19),Case Western Reserve (18),16,14
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Washington (8),14,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Stanford (12),Colorado State (13),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Washington (8),Colorado State (13),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Stanford (12),Cal Poly-SLO (17),12,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Cal Poly-SLO (17),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Stanford (12),14,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Colorado State (13),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Washington (8),Stanford (12),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Connecticut (18),15,5
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Michigan (7),Texas A&M (14),15,7
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Michigan (7),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (11),Texas A&M (14),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (11),Connecticut (18),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Michigan (7),Connecticut (18),14,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Texas A&M (14),Connecticut (18),14,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Texas A&M (14),13,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (6),Auburn (15),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (10),Oregon State (19),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (3),Carleton College (6),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (3),Oregon State (19),14,6
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Auburn (15),Oregon State (19),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (6),Oregon State (19),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (3),Auburn (15),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (6),Colorado (10),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (5),British Columbia (16),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (9),Virginia Tech (20),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Minnesota (4),Virginia Tech (20),15,7
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (9),British Columbia (16),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Minnesota (4),Oregon (5),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Minnesota (4),Wisconsin (9),15,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,British Columbia (16),Virginia Tech (20),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (5),Virginia Tech (20),15,6
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Carleton College (6),North Carolina-Wilmington (11),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Carleton College (6),Minnesota (4),12,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Pittsburgh (2),Auburn (15),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Carleton College (6),Michigan (7),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Wisconsin (9),Cal Poly-SLO (17),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Washington (8),Oregon (5),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Stanford (12),Virginia Tech (20),15,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Connecticut (18),Colorado (10),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,British Columbia (16),Colorado State (13),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Cal Poly-SLO (17),Washington (8),16,14
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Cal Poly-SLO (17),Colorado State (13),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (11),Pittsburgh (2),15,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (11),Michigan (7),15,7
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Auburn (15),Colorado (10),14,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (10),North Carolina (3),13,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,British Columbia (16),Minnesota (4),15,9
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (9),Oregon (5),16,14
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Carleton College (6),Massachusetts (1),15,14
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,North Carolina-Wilmington (11),North Carolina (3),14,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,Massachusetts (1),Pittsburgh (2),13,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,bracket,North Carolina (3),Wisconsin (9),15,14
