tournament,date,category,team1,team2,team1_score,team2_score
EAST-2019,,pool_a,1,9,13,7
EAST-2019,,pool_a,8,16,13,8
EAST-2019,,pool_a,16,17,9,13
EAST-2019,,pool_a,8,9,13,5
EAST-2019,,pool_a,1,17,13,11
EAST-2019,,pool_a,9,16,13,10
EAST-2019,,pool_a,1,16,13,9
EAST-2019,,pool_a,8,17,13,7
EAST-2019,,pool_a,1,8,11,13
EAST-2019,,pool_a,9,17,12,10
EAST-2019,,pool_b,2,18,13,9
EAST-2019,,pool_b,10,15,13,14
EAST-2019,,pool_b,2,10,13,11
EAST-2019,,pool_b,7,15,13,8
EAST-2019,,pool_b,15,18,10,12
EAST-2019,,pool_b,7,10,13,8
EAST-2019,,pool_b,2,15,13,9
EAST-2019,,pool_b,7,18,13,8
EAST-2019,,pool_b,2,7,13,10
EAST-2019,,pool_b,10,18,13,11
EAST-2019,,pool_c,3,19,13,7
EAST-2019,,pool_c,11,14,13,9
EAST-2019,,pool_c,3,11,13,9
EAST-2019,,pool_c,6,14,8,11
EAST-2019,,pool_c,14,19,12,10
EAST-2019,,pool_c,6,11,11,13
EAST-2019,,pool_c,3,6,13,4
EAST-2019,,pool_c,11,19,12,13
EAST-2019,,pool_c,3,14,13,9
EAST-2019,,pool_c,6,19,11,13
EAST-2019,,pool_d,4,20,13,11
EAST-2019,,pool_d,12,13,13,9
EAST-2019,,pool_d,13,20,10,13
EAST-2019,,pool_d,5,12,13,5
EAST-2019,,pool_d,4,12,13,11
EAST-2019,,pool_d,5,13,13,8
EAST-2019,,pool_d,4,13,13,6
EAST-2019,,pool_d,5,20,13,8
EAST-2019,,pool_d,4,5,13,15
EAST-2019,,pool_d,12,20,13,7
EAST-2019,,bracket_1st,8,7,13,8
EAST-2019,,bracket_1st,11,5,12,15
EAST-2019,,bracket_1st,3,4,13,12
EAST-2019,,bracket_1st,1,2,10,15
EAST-2019,,bracket_1st,8,5,15,12
EAST-2019,,bracket_1st,3,2,11,12
EAST-2019,,bracket_1st,8,2,12,15
EAST-2019,,bracket_3rd,5,3,14,13
EAST-2019,,bracket_5th,7,11,12,10
EAST-2019,,bracket_5th,4,1,12,15
EAST-2019,,bracket_5th,7,1,F,F
EAST-2019,,bracket_7th,4,11,11,9
EAST-2019,,bracket_9th,9,18,14,13
EAST-2019,,bracket_9th,14,12,8,15
EAST-2019,,bracket_9th,19,20,7,15
EAST-2019,,bracket_9th,17,10,12,13
EAST-2019,,bracket_9th,9,12,9,12
EAST-2019,,bracket_9th,20,10,13,12
EAST-2019,,bracket_9th,12,20,15,7
EAST-2019,,bracket_11th,10,9,5,15
EAST-2019,,bracket_13th,18,14,10,12
EAST-2019,,bracket_13th,19,17,11,12
EAST-2019,,bracket_13th,14,17,11,6
EAST-2019,,bracket_15th,19,18,13,10
EAST-2019,,consolation_pool,16,6,12,9
EAST-2019,,consolation_pool,15,13,12,11
EAST-2019,,consolation_pool,16,13,10,12
EAST-2019,,consolation_pool,15,6,14,8
EAST-2019,,consolation_pool,16,15,10,11
EAST-2019,,consolation_pool,6,13,12,10
EAST-2018,,pool_a,1,17,15,6
EAST-2018,,pool_a,9,16,15,13
EAST-2018,,pool_a,1,9,15,8
EAST-2018,,pool_a,8,16,13,7
EAST-2018,,pool_a,16,17,13,12
EAST-2018,,pool_a,8,9,14,13
EAST-2018,,pool_a,1,16,15,5
EAST-2018,,pool_a,8,17,15,12
EAST-2018,,pool_a,1,8,15,7
EAST-2018,,pool_a,9,17,15,9
EAST-2018,,pool_b,2,18,15,5
EAST-2018,,pool_b,10,15,15,8
EAST-2018,,pool_b,2,10,15,10
EAST-2018,,pool_b,7,15,15,10
EAST-2018,,pool_b,15,18,13,11
EAST-2018,,pool_b,7,10,12,13
EAST-2018,,pool_b,2,15,15,10
EAST-2018,,pool_b,7,18,12,11
EAST-2018,,pool_b,2,7,15,5
EAST-2018,,pool_b,10,18,15,8
EAST-2018,,pool_c,3,19,8,15
EAST-2018,,pool_c,11,14,15,13
EAST-2018,,pool_c,3,11,15,10
EAST-2018,,pool_c,6,14,15,6
EAST-2018,,pool_c,14,19,15,12
EAST-2018,,pool_c,6,11,9,15
EAST-2018,,pool_c,3,14,15,8
EAST-2018,,pool_c,6,19,15,8
EAST-2018,,pool_c,3,6,13,15
EAST-2018,,pool_c,11,19,15,7
EAST-2018,,pool_d,4,20,15,9
EAST-2018,,pool_d,12,13,11,13
EAST-2018,,pool_d,4,12,15,16
EAST-2018,,pool_d,5,13,13,14
EAST-2018,,pool_d,13,20,15,12
EAST-2018,,pool_d,5,12,12,8
EAST-2018,,pool_d,4,13,15,11
EAST-2018,,pool_d,5,20,15,7
EAST-2018,,pool_d,4,5,15,9
EAST-2018,,pool_d,12,20,15,9
EAST-2018,,bracket_1st,1,10,12,13
EAST-2018,,bracket_1st,6,4,14,13
EAST-2018,,bracket_1st,2,8,15,9
EAST-2018,,bracket_1st,13,11,15,9
EAST-2018,,bracket_1st,10,6,14,16
EAST-2018,,bracket_1st,2,13,15,7
EAST-2018,,bracket_1st,6,2,8,15
EAST-2018,,bracket_3rd,10,13,11,7
EAST-2018,,bracket_5th,1,4,13,10
EAST-2018,,bracket_5th,8,11,15,11
EAST-2018,,bracket_5th,1,8,11,5
EAST-2018,,bracket_7th,4,11,F,F
EAST-2018,,bracket_9th,9,15,15,7
EAST-2018,,bracket_9th,14,5,14,12
EAST-2018,,bracket_9th,3,12,15,11
EAST-2018,,bracket_9th,16,7,15,10
EAST-2018,,bracket_9th,9,14,15,10
EAST-2018,,bracket_9th,3,16,15,8
EAST-2018,,bracket_9th,9,3,13,7
EAST-2018,,bracket_11th,14,16,11,13
EAST-2018,,bracket_13th,15,5,14,15
EAST-2018,,bracket_13th,12,7,9,14
EAST-2018,,bracket_13th,5,7,15,11
EAST-2018,,bracket_15th,15,12,10,11
EAST-2018,,consolation_pool,17,19,14,13
EAST-2018,,consolation_pool,18,20,14,11
EAST-2018,,consolation_pool,17,20,13,15
EAST-2018,,consolation_pool,18,19,13,14
EAST-2018,,consolation_pool,17,18,13,9
EAST-2018,,consolation_pool,19,20,10,15
FLWU-2020-W2,2/22/2020,pool_a,6,8,13,4
FLWU-2020-W2,2/22/2020,pool_a,1,3,13,6
FLWU-2020-W2,2/22/2020,pool_a,1,8,11,8
FLWU-2020-W2,2/22/2020,pool_a,3,9,9,13
FLWU-2020-W2,2/22/2020,pool_a,8,9,12,7
FLWU-2020-W2,2/22/2020,pool_a,1,6,8,10
FLWU-2020-W2,2/22/2020,pool_a,3,8,5,13
FLWU-2020-W2,2/22/2020,pool_a,6,9,13,5
FLWU-2020-W2,2/22/2020,pool_a,3,6,8,13
FLWU-2020-W2,2/22/2020,pool_a,1,9,12,10
FLWU-2020-W2,2/22/2020,pool_b,5,7,13,1
FLWU-2020-W2,2/22/2020,pool_b,2,4,9,12
FLWU-2020-W2,2/22/2020,pool_b,4,10,13,1
FLWU-2020-W2,2/22/2020,pool_b,2,7,13,5
FLWU-2020-W2,2/22/2020,pool_b,7,10,8,4
FLWU-2020-W2,2/22/2020,pool_b,2,5,13,5
FLWU-2020-W2,2/22/2020,pool_b,5,10,10,7
FLWU-2020-W2,2/22/2020,pool_b,4,7,13,2
FLWU-2020-W2,2/22/2020,pool_b,4,5,13,4
FLWU-2020-W2,2/22/2020,pool_b,2,10,13,4
FLWU-2020-W2,2/23/2020,bracket_1,6,7,15,3
FLWU-2020-W2,2/23/2020,bracket_1,2,8,12,9
FLWU-2020-W2,2/23/2020,bracket_1,1,5,13,10
FLWU-2020-W2,2/23/2020,bracket_1,4,9,15,8
FLWU-2020-W2,2/23/2020,bracket_1,6,2,13,12
FLWU-2020-W2,2/23/2020,bracket_1,1,4,9,15
FLWU-2020-W2,2/23/2020,bracket_1,6,4,11,15
FLWU-2020-W2,2/23/2020,bracket_3,2,1,10,13
FLWU-2020-W2,2/23/2020,bracket_5,3,10,12,4
